Title,Journal,Year,author,pdf_file
Dog Walking Frequency and Long-Term Fitness Outcomes,Journal of Physical Activity and Health,2019,Napo Matsietsi,dog_walking_publication_12_2024.pdf
Sustained Health Benefits of Long-Term Dog Walking Habits,BMC Public Health,2020,Napo Matsietsi,dog_walking_publication_20_2020.pdf
Sleep Quality Improvements Associated with Evening Dog Walks,BMC Public Health,2020,Napo Matsietsi,dog_walking_publication_11_2023.pdf
"Mood, Movement, and Mutts: Mental Health Effects of Dog Walking",International Journal of Environmental Research and Public Health,2020,Napo Matsietsi,dog_walking_publication_6_2024.pdf
Dog Walking and Its Influence on Daily Stress Patterns,Anthrozoös,2021,Napo Matsietsi & Lee Jordan,dog_walking_publication_19_2019.pdf
Neighborhood Walks: Dog Walking as a Catalyst for Social Interaction,BMC Public Health,2021,Napo Matsietsi,dog_walking_publication_10_2022.pdf
Leash to Longevity: Physical Activity Outcomes of Regular Dog Walking,BMC Public Health,2021,Napo Matsietsi,dog_walking_publication_2_2020.pdf
Canine Activity Levels and Owner Health: A Paired Analysis,International Journal of Environmental Research and Public Health,2021,Napo Matsietsi,dog_walking_publication_18_2024.pdf
The Role of Dog Walking in Promoting Active Aging,BMC Public Health,2022,Napo Matsietsi & Lee Jordan,dog_walking_publication_8_2020.pdf
Canine Companionship and Stress Reduction in Working Adults,BMC Public Health,2022,Napo Matsietsi,dog_walking_publication_4_2022.pdf
Daily Dog Walking and Cardiovascular Health in Urban Adults,International Journal of Environmental Research and Public Health,2022,Napo Matsietsi,dog_walking_publication_1_2019.pdf
Human–Canine Co‑Exercise and Its Impact on Wellbeing,Journal of Physical Activity and Health,2022,Napo Matsietsi & Lee Jordan,dog_walking_publication_9_2021.pdf
Dog Walking as a Preventive Health Strategy,Journal of Physical Activity and Health,2022,Napo Matsietsi,dog_walking_publication_16_2022.pdf
Behavioral Changes in Dogs Following Structured Walking Programs,Anthrozoös,2023,Napo Matsietsi,dog_walking_publication_7_2019.pdf
Exploring Motivation and Consistency in Dog Walking Behavior,Anthrozoös,2023,Napo Matsietsi,dog_walking_publication_21_2021.pdf
Walking Together: Social and Psychological Benefits of Dog Ownership,BMC Public Health,2023,Napo Matsietsi,dog_walking_publication_3_2021.pdf
From Couch to Canine: Lifestyle Transitions Through Dog Walking,BMC Public Health,2023,Napo Matsietsi & Lee Jordan,dog_walking_publication_13_2019.pdf
Emotional Bonding and Routine Formation in Dog Walkers,BMC Public Health,2023,Napo Matsietsi,dog_walking_publication_14_2020.pdf
Psychological Resilience and Outdoor Activity in Dog Walkers,BMC Public Health,2024,Napo Matsietsi,dog_walking_publication_17_2023.pdf
Dog Walking Interventions and Community Health Outcomes,International Journal of Environmental Research and Public Health,2024,Napo Matsietsi,dog_walking_publication_22_2022.pdf
Physical Activity Adherence Among Dog Owners,International Journal of Environmental Research and Public Health,2024,Napo Matsietsi,dog_walking_publication_15_2021.pdf
A Longitudinal Study of Dog Walking and Weight Management,International Journal of Environmental Research and Public Health,2024,Napo Matsietsi & Lee Jordan,dog_walking_publication_5_2023.pdf
